City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salalah,OM,17.0151,54.0924,81.16,85,100,7.11,overcast clouds
1,Thompson,CA,55.7435,-97.8558,46.56,25,20,11.5,few clouds
2,Astoria,US,46.1879,-123.8313,62.71,65,40,5.75,scattered clouds
3,Bluff,NZ,-46.6,168.3333,50.34,80,100,29.48,light rain
4,Hobart,AU,-42.8794,147.3294,44.26,89,75,10.36,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,75.24,74,12,6.6,few clouds
6,Klaksvik,FO,62.2266,-6.589,49.12,87,99,14.72,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,42.46,65,40,11.5,scattered clouds
8,Yellowknife,CA,62.456,-114.3525,55.92,41,75,5.75,broken clouds
9,Vaini,TO,-21.2,-175.2,69.96,94,75,4.61,broken clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,63,8.99,broken clouds
11,Severo-Kurilsk,RU,50.6789,156.125,41.56,96,96,0.63,overcast clouds
12,Chumikan,RU,54.7183,135.315,32.2,99,100,3.33,light snow
13,Kodiak,US,57.79,-152.4072,45.52,79,100,24.23,overcast clouds
14,Busselton,AU,-33.65,115.3333,59.85,75,0,9.08,clear sky
15,Kapaa,US,22.0752,-159.319,80.58,91,2,4.0,light rain
16,Bredasdorp,ZA,-34.5322,20.0403,53.47,82,11,5.7,few clouds
17,Banikoara,BJ,11.2985,2.4386,90.43,35,80,1.88,broken clouds
18,Tasiilaq,GL,65.6145,-37.6368,37.8,72,100,4.43,overcast clouds
19,Tancanhuitz,MX,21.6,-98.9667,105.94,23,0,9.37,clear sky
20,Punta Arenas,CL,-53.15,-70.9167,42.91,65,0,17.27,clear sky
21,Jamestown,US,42.097,-79.2353,80.24,65,40,9.22,scattered clouds
22,Narsaq,GL,60.9167,-46.05,45.73,58,9,4.5,clear sky
23,Pevek,RU,69.7008,170.3133,33.75,89,100,5.12,overcast clouds
24,Upernavik,GL,72.7868,-56.1549,29.79,77,100,7.58,overcast clouds
25,Port Blair,IN,11.6667,92.75,84.24,84,75,8.05,mist
26,Hearst,CA,49.6835,-83.6665,43.05,57,100,7.67,overcast clouds
27,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
28,Kaitangata,NZ,-46.2817,169.8464,47.97,92,100,15.39,overcast clouds
29,Kudahuvadhoo,MV,2.6708,72.8944,83.21,76,52,9.26,broken clouds
30,Ilulissat,GL,69.2167,-51.1,34.86,81,100,7.94,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,46.22,95,100,11.43,light rain
32,Dospat,BG,41.65,24.1667,52.61,72,0,4.25,clear sky
33,Itupiranga,BR,-5.1347,-49.3267,88.12,53,72,4.83,broken clouds
34,Avarua,CK,-21.2078,-159.775,73.45,88,40,1.14,scattered clouds
35,Topola,RS,44.2542,20.6825,74.48,77,100,4.27,overcast clouds
36,Jalu,LY,29.0331,21.5482,72.57,33,0,15.68,clear sky
37,Quatre Cocos,MU,-20.2078,57.7625,75.31,68,4,14.32,clear sky
38,Kahului,US,20.8947,-156.47,81.97,80,20,10.0,few clouds
39,Raudeberg,NO,61.9875,5.1352,51.87,73,99,15.5,light rain
40,Chokurdakh,RU,70.6333,147.9167,33.24,100,100,3.71,overcast clouds
41,Bima,ID,-8.4667,118.7167,72.77,91,6,2.28,clear sky
42,Albany,US,42.6001,-73.9662,91.17,56,0,6.4,clear sky
43,Dikson,RU,73.5069,80.5464,27.41,95,100,8.5,overcast clouds
44,Silver City,US,32.7701,-108.2803,78.76,17,0,8.99,clear sky
45,Tallahassee,US,30.4383,-84.2807,76.68,92,0,1.99,clear sky
46,Hithadhoo,MV,-0.6,73.0833,83.05,70,12,8.21,few clouds
47,Luganville,VU,-15.5333,167.1667,76.01,89,11,2.95,few clouds
48,Henties Bay,NA,-22.116,14.2845,57.33,75,1,12.5,clear sky
49,Skorping,DK,56.8363,9.8926,54.68,86,5,7.81,clear sky
50,Galveston,US,29.3669,-94.9669,93.02,77,7,5.01,clear sky
51,Itacurubi Del Rosario,PY,-24.5,-56.6833,72.18,46,17,2.48,few clouds
52,Carnarvon,AU,-24.8667,113.6333,71.28,63,100,5.44,overcast clouds
53,Sukhumi,GE,43.0033,41.0153,56.59,73,10,6.2,clear sky
54,Mahebourg,MU,-20.4081,57.7,75.49,73,40,11.5,scattered clouds
55,Butaritari,KI,3.0707,172.7902,80.94,80,99,10.92,overcast clouds
56,Coroico,BO,-16.1889,-67.7271,74.07,47,40,5.59,scattered clouds
57,Tiksi,RU,71.6872,128.8694,22.86,99,100,2.95,overcast clouds
58,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,19.57,few clouds
59,Torbay,CA,47.6666,-52.7314,63.37,34,20,6.91,few clouds
60,Jieshi,CN,22.8134,115.8257,76.95,88,100,14.38,overcast clouds
61,Hermanus,ZA,-34.4187,19.2345,58.32,75,39,6.93,scattered clouds
62,Aykhal,RU,66.0,111.5,39.52,76,67,3.44,broken clouds
63,Nadym,RU,65.5333,72.5167,34.11,85,100,14.2,overcast clouds
64,Cherskiy,RU,68.75,161.3,51.31,54,43,11.48,scattered clouds
65,Port Alfred,ZA,-33.5906,26.891,59.59,73,11,3.49,few clouds
66,Brae,GB,60.3964,-1.353,51.3,80,82,13.53,broken clouds
67,Oranjemund,NA,-28.55,16.4333,54.0,87,26,10.71,scattered clouds
68,Luderitz,NA,-26.6481,15.1594,56.8,64,9,18.45,clear sky
69,Port Hedland,AU,-20.3167,118.5667,73.45,100,100,0.0,overcast clouds
70,Bethel,US,41.3712,-73.414,93.34,62,0,1.99,clear sky
71,Sistranda,NO,63.7256,8.834,49.96,90,100,9.93,light rain
72,Saskylakh,RU,71.9167,114.0833,26.83,99,97,6.58,overcast clouds
73,Schruns,AT,47.0709,9.9475,59.63,92,81,1.1,broken clouds
74,Victoria,HK,22.2855,114.1577,78.85,90,100,11.99,overcast clouds
75,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,99,11.32,overcast clouds
76,Santa Fe,AR,-31.6333,-60.7,75.02,55,100,1.99,light rain
77,Karratha,AU,-20.7377,116.8463,76.75,76,98,5.03,light rain
78,Wakema,MM,16.6,95.1833,79.72,90,100,10.47,overcast clouds
79,Bilibino,RU,68.0546,166.4372,39.76,82,100,2.1,overcast clouds
80,Tevaitoa,PF,-16.7833,-151.5,80.2,72,16,10.25,light rain
