City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Algiers,DZ,2022-05-21 02:04:38,36.7525,3.042,287.05,94,0,0.51
1,Jambi,ID,2022-05-21 02:00:19,-1.6,103.6167,297.77,95,98,2.61
2,Hermanus,ZA,2022-05-21 01:59:20,-34.4187,19.2345,286.79,74,46,2.16
3,Rikitea,PF,2022-05-21 01:59:36,-23.1203,-134.9692,296.54,77,9,3.48
4,Albany,US,2022-05-21 02:02:17,42.6001,-73.9662,293.0,82,100,1.34
5,Cherskiy,RU,2022-05-21 02:03:21,68.75,161.3,287.45,37,12,6.03
6,Evensk,RU,2022-05-21 02:04:39,61.95,159.2333,280.81,65,82,6.81
7,Ribeira Grande,PT,2022-05-21 02:00:38,38.5167,-28.7,290.93,97,100,4.0
8,Koungou,YT,2022-05-21 02:04:40,-12.7336,45.2042,296.99,94,0,3.09
9,Port Alfred,ZA,2022-05-21 01:59:20,-33.5906,26.891,289.36,71,100,2.12
10,Kambove,CD,2022-05-21 02:04:40,-10.8764,26.5969,289.88,72,80,0.55
11,Nanortalik,GL,2022-05-21 02:00:54,60.1432,-45.2371,275.95,84,18,2.23
12,Thompson,CA,2022-05-21 02:03:26,55.7435,-97.8558,275.64,72,100,4.55
13,Ushuaia,AR,2022-05-21 01:57:37,-54.8,-68.3,279.96,70,75,2.57
14,Saint-Philippe,RE,2022-05-21 02:02:00,-21.3585,55.7679,293.92,83,36,4.68
15,Avarua,CK,2022-05-21 02:00:37,-21.2078,-159.775,298.42,74,94,4.79
16,Vaini,TO,2022-05-21 02:00:52,-21.2,-175.2,297.93,72,100,4.65
17,Crestview,US,2022-05-21 02:02:41,30.7621,-86.5705,299.4,79,2,1.34
18,Clonakilty,IE,2022-05-21 02:04:42,51.6231,-8.8706,283.76,90,100,5.04
19,Coquimbo,CL,2022-05-21 02:03:16,-29.9533,-71.3436,289.09,75,100,1.88
20,Busselton,AU,2022-05-21 01:59:27,-33.65,115.3333,291.21,61,2,4.55
21,Arraial Do Cabo,BR,2022-05-21 01:57:38,-22.9661,-42.0278,293.08,75,46,4.6
22,Atuona,PF,2022-05-21 01:55:34,-9.8,-139.0333,298.51,66,0,3.46
23,Yellowknife,CA,2022-05-21 01:59:27,62.456,-114.3525,287.44,26,75,5.14
24,Clyde River,CA,2022-05-21 02:04:44,70.4692,-68.5914,268.31,89,100,2.13
25,Grindavik,IS,2022-05-21 02:04:44,63.8424,-22.4338,282.41,87,0,3.6
26,Galesong,ID,2022-05-21 02:04:45,-5.3166,119.3661,301.16,68,90,0.45
27,Lompoc,US,2022-05-21 02:00:37,34.6391,-120.4579,293.23,66,14,1.79
28,Hithadhoo,MV,2022-05-21 02:00:49,-0.6,73.0833,301.39,72,20,4.24
29,Jamestown,US,2022-05-21 02:00:39,42.097,-79.2353,296.32,86,100,1.79
30,Ostrovnoy,RU,2022-05-21 02:04:46,68.0531,39.5131,273.31,66,99,2.93
31,Saskylakh,RU,2022-05-21 01:59:23,71.9167,114.0833,273.34,96,97,3.52
32,Hobart,AU,2022-05-21 01:50:23,-42.8794,147.3294,284.41,80,20,4.63
